table,game_id,feature_time,label_time
starter,2021-09-25_CWS_CLE,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_CWS_CLE,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_SF_COL,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_SF_COL,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_TOR_MIN,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_TOR_MIN,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_STL_CHC,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_STL_CHC,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-24_ATL_SD,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_ATL_SD,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-25_LAD_AZ,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_LAD_AZ,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_NYY_BOS,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_NYY_BOS,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_TEX_BAL,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_TEX_BAL,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-24_HOU_OAK,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_HOU_OAK,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_TOR_MIN,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_TOR_MIN,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_MIA_TB,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_MIA_TB,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_SEA_LAA,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_SEA_LAA,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_PIT_PHI,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_PIT_PHI,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_KC_DET,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_KC_DET,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_SF_COL,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_SF_COL,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_CWS_CLE,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_CWS_CLE,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_WSH_CIN,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_WSH_CIN,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-23_PIT_PHI,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_PIT_PHI,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-24_NYM_MIL,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_NYM_MIL,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
